id,class,orbital_period,transit_duration,transit_depth,planet_radius,equilibrium_temperature,insolation_flux,stellar_effective_temperature,stellar_surface_gravity,stellar_radius,ra,dec
10033,FALSE POSITIVE,3.99307,4.783,3892.81,6.35126,1667.0,1282.52,4731.1,4.35,0.93,337.8341,53.796052
10034,FALSE POSITIVE,8.6795072,3.628,10160.0,24.132,1366.0,578.958,6057.0,4.43,1.14,338.452968,57.563539
10035,CANDIDATE,6.5560604,2.703,861.0,13.1465,1588.0,1056.97,8918.0,3.51,4.58,341.386298,48.161556
10036,FALSE POSITIVE,1.3812787,2.4,1573.0,5.91488,3488.0,24595.6,6483.0,4.28,1.38,341.970903,49.918072
10037,CANDIDATE,2.2813432,1.1601933,1126.6619488,12.7387194,2221.9981475,5760.9720984,6174.0,4.27404,2.35511,330.301777,-49.060077
10038,FALSE POSITIVE,5.48923,3.29,910.0,11.8401,1987.0,2592.62,6004.0,4.06,1.62,287.025089,66.290697
10040,FALSE POSITIVE,0.43889,0.947,650.0,6.69456,3049.0,14357.3,7111.0,3.91,2.32,291.880247,68.014695
10041,FALSE POSITIVE,2.3359622,6.0165684,3066.2492749,18.3852989,2362.6020308,7363.4830838,7577.0,4.05,2.0780001,332.287103,57.938972
10042,CANDIDATE,6.8674054,3.488,779.0,2.4024,1157.0,297.944,6051.5,4.48,1.03,292.196087,58.614764
10043,CANDIDATE,14.431887,3.265,1687.0,3.73311,749.0,52.4908,6051.5,4.48,1.03,292.196087,58.614764
10045,CONFIRMED,10.5739824,4.04,5460.0,9.43898,1007.0,171.146,6519.0,4.36,1.27,82.127963,-48.409067
10046,CONFIRMED,9.9783319,4.2281711,179.2248456,2.0515332,1062.3035336,300.9646623,6073.5,4.1,1.47131,336.576123,-18.011665
10047,CONFIRMED,4.4247042,1.318,2447.0,8.3621,1293.0,465.179,6594.0,4.23,1.49,313.511047,72.580646
10048,CONFIRMED,2.2222094,2.461,87.0,1.39527,1864.0,2005.35,6594.0,4.23,1.49,313.511047,72.580646
10050,CONFIRMED,1.0082361,1.41,228.0,1.7202,1835.0,1882.94,5795.29,4.438,1.13,338.983717,-59.864829
10051,CONFIRMED,1.2168732,0.86,1240.0,3.43106,980.0,153.719,4634.6,4.51,0.78,334.882849,42.560314
10052,CONFIRMED,1.4520486,1.339,393.0,1.404,1125.0,266.85,4184.0,4.57376,0.69,232.946047,47.055551
10053,CANDIDATE,4.731977,0.361,3470.0,6.97384,367.0,3.01841,4223.45,4.61744,0.66,233.065833,47.860746
10054,CANDIDATE,6.1182129,0.6671441,1805.1895773,6.1579891,891.1240042,149.0299553,5427.0,4.51461,0.890109,333.253171,37.627574
10055,CANDIDATE,3.0197807,3.5896763,12016.7483851,17.9176077,1813.9505159,2558.7198805,7128.0,4.23768,1.58815,351.579721,38.55294
10056,CANDIDATE,14.4204896,5.1737619,1061.4991496,4.7909139,942.9968937,186.8796664,6383.0,4.24518,1.41048,219.037047,42.378458
10057,CONFIRMED,1.0697621,1.356,376.0,1.60037,1590.0,1061.92,4946.0,4.53834,0.8,216.923489,41.952986
10058,CONFIRMED,3.0726434,2.2602485,10471.4949697,19.9197757,1793.7963398,2446.8848714,7164.0,4.25661,1.55831,335.825303,35.03492
10059,FALSE POSITIVE,0.6763235,4.916459,30.1617977,1.700035,3663.5419408,42572.1587375,8475.0,3.82228,2.9486499,254.958579,58.462633
10060,CONFIRMED,2.8997405,1.849,13760.0,10.0433,1015.0,176.587,5224.0,4.55801,0.82,206.094014,48.028565
10061,CANDIDATE,0.8533534,1.2018737,25080.3290695,12.600718,1026.213105,262.1025386,3658.0,4.438,0.608076,4.60586,-62.847875
10062,CONFIRMED,6.9561134,3.3628003,15989.231101,12.090823,872.4987884,136.9557694,5387.0,4.46259,0.940037,322.941809,66.349005
10064,CONFIRMED,13.001789,4.4847322,1339.5837664,3.84805,786.6834253,90.515093,5914.0,4.46,1.00826,354.240829,39.639279
10065,FALSE POSITIVE,2.7556532,3.3967282,2854.4589288,6.4145519,967.6926252,207.2386368,4993.0,4.66918,0.696945,344.609651,39.658712
10066,CANDIDATE,4.8962484,2.362418,1186.0289925,3.5246468,796.4215716,95.080851,4528.99,4.48318,0.799965,344.907267,36.517666
10067,CANDIDATE,1.0318213,1.599,5577.0,28.2906,2668.0,8422.18,5810.6,4.13,1.49,329.091358,68.998035
10068,FALSE POSITIVE,0.78999,1.153,5750.0,1.99,2398.0,5497.38,5558.0,4.43,1.1,339.03342,37.841042
10070,FALSE POSITIVE,11.35626,6.047,2190.0,12.9372,1731.0,1493.65,6314.0,3.87,2.14,287.050161,55.303691
10071,FALSE POSITIVE,0.6412558,1.1161082,1029.5348333,4.841202,2573.9569471,10373.5192117,5854.65,4.1262,1.47292,295.101088,40.986723
10072,CONFIRMED,2.3109689,3.4303821,6829.4236495,17.30428,2068.197749,4324.0354536,6371.0,3.94807,1.95411,328.767739,-22.6126
10073,CONFIRMED,7.4341456,2.424,701.0,1.97737,733.0,48.0098,5064.0,4.57887,0.78,300.615453,53.377442
10074,CONFIRMED,2.650232,2.03,6449.0,15.9327,1720.0,1454.53,7400.0,4.11,1.94,316.203692,55.588022
10075,CANDIDATE,6.1095756,2.441,510.0,2.19963,916.0,117.102,5587.0,4.51,0.91,329.401792,36.321404
10076,CANDIDATE,12.4379715,1.7137815,123693.2601599,24.6478297,348.5191947,3.4868062,3275.0,4.75761,0.476997,305.538257,36.064784
10077,CANDIDATE,29.871853,4.6960535,712.5668187,2.4078494,474.9939578,12.0302137,5393.86,4.67802,0.735511,176.380591,65.541314
10078,CANDIDATE,0.6858178,1.3936363,148.2277582,0.9996714,1707.7366899,2010.0397143,5142.0,4.54622,0.82354,203.537946,67.62123
10079,CANDIDATE,0.8675883,1.3814953,321.4840933,1.4302423,1474.8095115,1118.0589981,5011.22,4.6136,0.74524,215.602155,55.334259
10080,CONFIRMED,18.840891,5.765,331.0,2.00342,868.0,94.5008,6093.0,4.32207,1.22,256.138751,56.842549
10081,CONFIRMED,5.1396666,0.8991981,769.5996824,2.259057,883.3765229,143.9144538,5374.0,5.96065,0.815924,280.923784,74.937833
10082,CONFIRMED,9.4280902,1.377,799.0,2.49195,623.0,25.1545,5374.0,5.96065,0.82,280.923784,74.937833
10083,CONFIRMED,27.6438617,5.321,560.0,3.68027,801.0,68.4355,5873.0,4.043,1.62,241.763937,67.87764
10084,CONFIRMED,6.267832,2.789,321.0,1.99779,1052.0,203.434,5950.0,4.438,1.15,84.29928,-80.464604
10085,CANDIDATE,15.5174519,5.322,434.0,2.43592,1056.0,207.048,5780.0,4.438,1.34,283.794562,64.53137
10086,CANDIDATE,4.6274206,4.6582573,152.4142924,1.43332,1239.4886654,557.8163511,5780.0,4.438,1.34,283.794562,64.53137
10087,CANDIDATE,22.092974,5.813,435.0,2.33525,790.0,64.932,5885.0,4.27782,1.24,305.412906,58.140828
10088,CONFIRMED,0.4090681,0.6165726,1281.2294665,1.1833779,967.4422529,207.0242436,3328.0,4.91612,0.308799,287.292101,74.174276
10089,CONFIRMED,23.5407467,4.025,956.0,2.11441,564.0,16.8576,5236.0,4.63898,0.75,297.398678,76.139178
10090,CONFIRMED,0.4702719,1.3258819,209.49313,1.4344026,2147.7419002,5028.6262848,5466.0,4.48625,0.92499,305.474925,70.943705
10091,CANDIDATE,9.8130697,3.91,630.0,2.67352,1013.0,175.261,6240.0,4.46607,1.06,292.76774,71.497358
10092,CANDIDATE,4.7842093,2.947,390.0,2.14401,1267.0,428.772,6240.0,4.46607,1.06,292.76774,71.497358
10093,CANDIDATE,6.3170657,2.4466954,688.3375977,2.4720516,822.8089031,108.3220651,5180.0,4.54308,0.83031,302.001457,51.361796
10094,CANDIDATE,4.5057387,1.885675,428.7456455,1.7133121,920.906304,169.9741138,5180.0,4.54308,0.83031,302.001457,51.361796
10095,FALSE POSITIVE,1.2273079,4.8114753,66.4147779,3.6075647,2575.4100491,10396.9641276,6906.0,4.438,4.12041,201.336817,75.982713
10096,CONFIRMED,8.0970819,3.127852,4723.0724376,2.6354043,388.1291894,5.3632275,3391.0,4.84373,0.381586,316.324003,57.771095
10098,CANDIDATE,2.3691849,1.6840374,699.3113402,1.614201,1160.0492093,427.9831307,5780.0,4.64751,0.604385,300.708664,39.668371
10099,CANDIDATE,5.13002,4.78,3376.0,8.86428,1501.0,842.866,5430.7,4.4,1.58,333.174716,-55.978803
10100,CONFIRMED,2.0439268,1.008937,465.1929875,1.0924808,660.3898166,44.9492524,3407.0,4.7606,0.473603,286.854063,59.086625
10101,CONFIRMED,16.5379864,2.796,608.0,2.51948,751.0,53.0216,5781.0,4.43068,1.03,186.524282,61.258929
10102,CONFIRMED,11.0619937,1.7587777,3249.1164334,1.6184944,304.152939,2.0225025,3248.0,4.95407,0.275364,290.173974,73.195108
10103,CONFIRMED,6.5886877,1.678,852.0,2.12746,646.0,28.9612,4920.0,4.64,0.71,258.22327,57.197778
10104,CONFIRMED,4.3135263,1.874,274.0,1.17405,963.0,142.833,4920.0,4.64,0.71,258.22327,57.197778
10105,CANDIDATE,2.6794168,2.988801,13578.3447901,13.6925582,1444.134709,1027.9022729,6075.0,4.38,1.14394,300.842307,53.294181
10106,CANDIDATE,3.6231364,2.385,17749.0,18.4921,1306.0,483.742,6458.8,4.32,1.35,308.670288,66.440384
10107,CONFIRMED,18.712253,6.475,6066.0,10.3984,1008.0,171.765,6125.0,4.29,1.27,306.741134,33.744388
10109,CONFIRMED,2.7759678,3.074,13613.0,15.4018,1761.0,1597.59,6140.0,4.32,1.24,9.573034,42.463096
10110,FALSE POSITIVE,9.155934,3.1412022,908.2412562,2.4949092,727.3657867,66.1504006,5219.0,4.55718,0.82204,19.361773,26.745951
10112,FALSE POSITIVE,6.8424983,3.3079378,8029.880305,16.4578474,977.1959895,215.5002138,5766.0,4.438,1.1282001,20.610639,26.925729
10113,CANDIDATE,3.5686777,2.5811179,20121.1854664,20.2503751,1387.9223847,876.963913,6046.0,4.26929,1.28529,22.236394,35.864854
10114,CONFIRMED,2.1779407,2.098,110.0,1.28228,1462.0,759.183,5801.89,4.25132,1.26,261.349585,52.790472
10115,CONFIRMED,2.8791023,2.7497683,11426.6170088,12.0920506,1308.6978872,693.2320081,5583.0,4.33946,1.1145999,7.053937,42.061345
10116,CANDIDATE,11.3125266,2.5943007,861.7265878,2.686447,698.0518398,56.1140618,5290.0,4.53286,0.854841,288.384969,62.203124
10117,CONFIRMED,1.4200248,1.431,23730.0,12.5242,1231.0,382.328,4910.0,4.57248,0.77,303.38187,65.162331
10118,CANDIDATE,1.8718991,1.475,920.0,2.40733,1001.0,167.099,4201.0,4.5079,0.75,307.396532,61.550725
10119,CONFIRMED,5.9711357,1.5478671,1437.1086027,1.8721145,525.9795517,18.0882455,3834.0,4.74552,0.490737,19.114644,49.233138
10120,CONFIRMED,15.5324385,1.7640717,2937.4953214,2.013576,308.4743596,2.1399188,3382.0,4.85532,0.369306,16.653872,19.224919
10121,CONFIRMED,1.880531,1.1911684,1214.0066593,1.4548629,623.5511988,35.7280633,3382.0,4.85532,0.369306,16.653872,19.224919
10122,CONFIRMED,3.0929386,0.8776502,254.2319025,1.2815317,950.5390679,192.9304989,4884.29,4.59034,0.750598,348.337203,57.169626
10123,CONFIRMED,6.7650398,1.421,269.0,1.39215,789.0,64.6487,4884.29,4.59034,0.75,348.337203,57.169626
10124,FALSE POSITIVE,3.4231002,2.4377583,8643.1016455,35.4084057,1900.9587948,3086.1129325,5620.9,3.6,2.6126101,73.641474,-57.513453
10125,CONFIRMED,2.5272822,1.265861,1847.4872236,2.2007181,661.896336,45.3608214,3624.0,4.74607,0.49012,10.089143,61.213387
10126,CONFIRMED,20.7724316,5.508,1415.0,3.91576,1060.0,209.722,5625.56,4.46798,0.97,30.905006,21.281327
10127,CONFIRMED,52.5637056,6.5,1193.0,3.28372,542.0,14.3711,5625.56,4.46798,0.97,30.905006,21.281327
10128,CONFIRMED,6.3634106,2.692302,2368.6952027,4.4784698,826.0146095,110.0200699,5103.0,4.50257,0.859483,14.114261,48.637517
10129,CONFIRMED,5.2544884,2.898,567.0,2.1916,1144.0,284.941,5958.0,4.48217,0.99,15.598144,37.185439
10130,FALSE POSITIVE,5.222621,4.693629,15867.9920175,3.7216015,329.6508495,2.7908584,3453.0,4.95337,0.275946,349.289072,70.190576
10131,CANDIDATE,8.4953513,0.9060555,718.4869448,5.2961699,1813.345207,2555.3062468,10012.0,4.29876,1.88016,357.001275,49.790533
10132,CONFIRMED,1.2174936,2.57,6969.0,12.9438,2361.0,5165.92,6596.04,4.2467,1.46,0.362099,39.383795
10133,CONFIRMED,2.7324809,2.2139341,9548.2806012,18.2785375,1809.0414376,2531.1335542,6695.0,4.17494,1.61271,9.458744,51.288778
10134,CONFIRMED,10.1802014,4.613,11500.0,12.3422,1119.0,261.013,5623.0,4.4,1.04,126.433743,-13.559548
10135,FALSE POSITIVE,16.6828999,1.804,2054.0,17.1854,550.0,15.2595,6423.0,3.74,2.63,288.818098,57.760569
10136,CONFIRMED,4.86709,3.103,4210.0,7.42915,1272.0,435.152,5814.3,4.34,1.15,338.320803,-38.159828
10138,FALSE POSITIVE,2.1853174,1.656,1168.0,14.8742,1952.0,2412.11,8332.0,3.54,4.02,336.705071,52.227842
10139,CANDIDATE,5.7121916,4.775,7555.0,15.4584,1570.0,1009.66,6720.0,4.09,1.79,345.994881,52.562695
10140,FALSE POSITIVE,5.0037857,4.154,1950.0,6.77338,2028.0,2812.53,6109.0,4.42,1.09,338.435039,52.636337
10141,FALSE POSITIVE,1.1623941,1.266,1099.0,8.21669,1723.0,1464.16,5843.7,3.82,2.23,343.156204,48.55001
10143,FALSE POSITIVE,0.2666485,1.075,230.0,1.30468,2072.0,3064.12,4154.0,4.53,0.71,281.197877,62.685644
10145,FALSE POSITIVE,0.4721054,1.6995515,45.2185132,1.3988866,3774.0009529,47943.4214221,7269.0,4.08,1.93752,261.921033,57.510557
10149,CANDIDATE,4.4902667,2.758,2513.0,5.56985,1180.0,322.83,5899.0,4.29,1.23,14.652947,34.148042
10150,FALSE POSITIVE,0.86673,1.089,662.925,3.54647,1739.0,1519.96,5904.0,4.31,1.25,1.887805,32.43753
10151,CONFIRMED,5.147905,5.405,3710.0,18.0411,1760.0,1594.76,6064.0,3.57,2.9,17.47474,25.681649
10152,CONFIRMED,5.0267996,2.754044,6358.0060702,12.9814741,1378.3967823,853.1354811,6434.0,4.21,1.4782799,18.995312,21.616906
10154,FALSE POSITIVE,10.82661,6.877,5890.0,11.5303,1463.0,760.667,5113.0,4.71,0.68,327.275942,53.293768
10155,FALSE POSITIVE,0.8165295,2.294,468.0,4.12435,5356.0,136662.0,8911.0,4.26,1.85,343.233217,59.850951
10156,FALSE POSITIVE,1.4014167,3.661,2730.0,11.8932,4713.0,81940.9,8014.0,4.32,1.6,321.97348,54.519818
10158,CONFIRMED,5.8574075,5.8548029,6489.7302346,13.8892762,1335.1143401,750.9220273,5982.9,4.03,1.67987,112.965421,-73.606036
10160,FALSE POSITIVE,1.077774,2.682,2680.0,10.1773,4387.0,61535.5,7274.0,4.25,1.58,332.712572,59.650554
10161,FALSE POSITIVE,2.7536237,2.39,1460.0,11.1685,2565.0,529.9,5647.0,3.68,2.41,328.215897,60.569156
10162,FALSE POSITIVE,1.6534102,3.102,600.0,6.07704,4329.0,58331.7,6928.0,4.29,1.46,339.120372,52.115714
10163,FALSE POSITIVE,1.2456423,1.354,691.0,3.80598,1695.0,1370.47,6194.0,4.16,1.5,331.569908,52.701917
10164,FALSE POSITIVE,3.4272549,5.9083927,569.4677099,7.7503736,1836.8876704,2690.6140029,6338.0,3.9,2.0707099,326.091506,58.551567
10165,FALSE POSITIVE,10.9115374,3.269,1039.0,18.4382,3198.0,17372.4,9195.0,3.75,3.37,338.796529,55.031026
10166,FALSE POSITIVE,0.46741,1.25,1592.12,7.77804,5361.0,137211.0,7960.5,4.23,1.77,333.669705,53.239557
10167,FALSE POSITIVE,2.1575124,2.236,550.0,11.8527,2244.0,4213.12,8326.0,3.58,3.87,339.14435,58.276061
10168,FALSE POSITIVE,1.577609,1.646,1055.0,9.73924,2058.0,2982.64,7856.0,3.78,2.91,356.588834,60.487025
10169,FALSE POSITIVE,1.59782,1.49,1713.69,3.59995,1548.0,955.676,5037.6,4.72,0.79,83.349121,-58.745093
10170,FALSE POSITIVE,1.23852,3.138,440.0,7.11712,2736.0,9304.06,6524.0,3.5,3.4,348.574188,65.957972
10171,FALSE POSITIVE,1.1025238,2.321,2919.0,15.8737,5314.0,132458.0,9218.0,4.21,2.0,340.352259,69.074447
10173,FALSE POSITIVE,1.76589,3.807,730.0,4.06597,2509.0,6579.97,6221.0,4.13,1.55,350.373796,60.175637
10174,FALSE POSITIVE,1.36991,4.156,1170.0,11.8886,3254.0,18625.3,7339.8,3.56,3.64,351.648417,64.304699
10175,FALSE POSITIVE,3.66505,2.346,910.0,7.19016,1352.0,555.083,6370.0,3.81,2.32,357.368097,61.682819
10176,CONFIRMED,2.0560153,2.773,17453.0,17.2767,1839.0,1899.83,6485.0,4.37,1.24,340.08462,69.503731
10178,CONFIRMED,1.902606,2.3653693,8984.9897271,19.576504,2917.5260913,17123.005499,9918.0,4.32,1.82241,352.267521,67.034806
10180,FALSE POSITIVE,7.00776,2.68,3666.99,8.1288,1161.0,302.511,6347.0,4.23,1.22,332.357482,-62.334453
10181,FALSE POSITIVE,6.1461734,5.386,1034.0,6.96236,2649.0,8177.52,6153.0,4.15,1.5,350.232731,62.161179
10182,FALSE POSITIVE,4.1812866,4.394,4280.0,15.448,1585.0,1049.28,6146.0,3.78,2.31,356.770579,69.049522
10183,FALSE POSITIVE,2.9798592,2.737,580.0,4.92227,2704.0,8878.81,9024.0,4.24,1.89,314.269036,78.674917
10184,FALSE POSITIVE,6.72694,2.649,1070.0,5.19273,1123.0,264.81,6745.0,4.23,1.53,311.236535,69.151807
10186,FALSE POSITIVE,0.6171788,1.433,519.0,7.26341,3260.0,18771.3,9603.0,3.83,3.14,308.065776,58.328901
10187,FALSE POSITIVE,1.5309799,1.37,654.0,6.01061,1613.0,1124.09,6298.0,3.77,2.38,318.347586,56.943732
10188,CANDIDATE,5.0625809,3.69,2884.0,15.2343,1757.0,1582.94,7664.0,3.81,2.76,5.965461,51.468293
10194,CANDIDATE,8.905407,2.71,6702.0,12.3602,1092.0,236.656,6659.0,4.29,1.41,4.736238,57.200629
10195,CANDIDATE,3.6458046,1.828,1168.0,2.93272,1011.0,173.908,5053.0,4.48,0.88,355.246721,57.485242
10196,CANDIDATE,8.0637954,0.804,2301.0,9.29431,628.0,25.9007,5053.0,4.48,0.88,355.246721,57.485242
10197,FALSE POSITIVE,1.41853,2.728,560.0,3.93221,2481.0,6293.46,6329.0,4.08,1.68,6.074676,57.881718
10198,FALSE POSITIVE,6.5344463,2.774,3240.0,15.3823,1559.0,982.822,7715.3,3.96,2.67,10.962717,61.835626
10199,FALSE POSITIVE,2.013653,2.1214907,822.8974252,9.0269074,3580.9202252,38859.7127334,10310.0,4.01,2.67713,11.3024,56.070058
10200,CANDIDATE,6.4902646,2.545,1080.0,3.24146,990.0,159.69,5999.0,4.52,0.96,348.58145,44.508759
10201,CANDIDATE,6.54692,4.589,2400.0,5.62882,1306.0,483.652,6034.0,4.39,1.12,356.995693,47.655601
10202,FALSE POSITIVE,2.590266,4.378,700.0,9.54526,2985.0,13184.6,5855.0,3.45,3.22,346.518266,52.787014
10203,FALSE POSITIVE,6.74657,1.803,2970.0,16.2785,833.0,80.0277,5910.7,3.59,2.57,313.261454,-38.594923
10207,FALSE POSITIVE,5.13664,4.45,930.0,7.04152,2355.0,5106.92,9238.0,4.08,2.32,357.674034,50.354962
10209,FALSE POSITIVE,1.5166573,1.607,1590.0,7.73846,1954.0,2422.33,6905.3,4.03,2.0,6.030617,40.165571
10210,CANDIDATE,1.13345,1.894,490.0,3.03424,2159.0,3611.25,6223.0,4.23,1.4,1.196825,41.59388
10211,FALSE POSITIVE,0.71933,1.474,478.823,3.45648,2210.0,3964.33,5758.0,4.21,1.44,355.451893,37.186566
10212,FALSE POSITIVE,12.6017,4.835,800.0,3.34292,949.0,135.068,5861.6,4.3,1.21,4.358519,42.282204
10213,FALSE POSITIVE,2.5798051,3.413,5740.0,25.2815,2619.0,7814.19,6116.5,4.18,1.49,8.304382,46.340305
10214,CANDIDATE,5.4499753,4.319,973.0,5.28759,1499.0,839.203,6220.5,3.99,1.79,321.11498,-37.850181
10215,FALSE POSITIVE,1.6256942,1.988,1720.0,32.1007,3151.0,16378.0,6628.0,3.43,3.96,21.736201,49.388653
10216,CANDIDATE,1.67546,1.202,1250.0,6.44889,1506.0,855.787,6745.5,4.09,1.78,19.700387,41.506112
10217,FALSE POSITIVE,7.57193,2.656,420.0,10.2119,1479.0,795.635,9146.0,3.45,4.72,22.972973,46.399826
10218,CANDIDATE,5.9382163,2.244,6171.0,18.5099,1364.0,576.071,6775.5,3.97,2.09,24.690503,42.677739
10219,CONFIRMED,9.4341589,2.8505348,4001.924935,6.3734064,799.4458445,96.5333103,5450.4,4.48,0.938168,289.226288,49.548281
10220,FALSE POSITIVE,2.09989,0.908,27336.4,10.1564,1263.0,422.491,6025.3,4.46,1.04,257.876742,72.135555
10221,FALSE POSITIVE,1.44127,2.605,2750.0,9.20279,3409.0,22433.7,8009.0,4.29,1.65,324.714399,65.039172
10222,FALSE POSITIVE,1.08697,1.967,860.0,4.98445,2042.0,2889.01,5751.0,4.0,1.69,8.163572,54.654594
10224,CANDIDATE,3.4648951,1.046,1339.0,9.72728,1225.0,374.648,8455.3,3.95,2.54,20.717398,48.955364
10225,FALSE POSITIVE,14.152,3.599,3800.0,10.6751,1148.0,288.531,5823.9,4.6,1.28,41.467598,-64.320687
10226,CANDIDATE,0.2580006,0.5351356,812.7310325,6.2776081,5634.0594403,238125.9359212,9035.0,4.16,2.08687,29.032856,52.585482
10227,FALSE POSITIVE,2.27456,3.32,1020.0,13.266,3374.0,21521.5,6777.0,3.55,3.35,38.821696,55.703217
10228,FALSE POSITIVE,0.98999,2.05,420.0,3.95137,2612.0,7729.29,6208.0,3.99,1.84,38.123017,52.704091
10229,CANDIDATE,1098.2258586,6.121,4496.0,5.13949,93.0,0.0125876,4582.0,4.55,0.74,38.810203,48.273763
10234,FALSE POSITIVE,1.35932,2.831,2840.0,10.3751,3113.0,15609.5,5421.0,4.46,0.94,8.989872,65.026035
10235,FALSE POSITIVE,1.71614,2.038,681.449,14.1349,1550.0,958.34,5511.5,3.28,4.92,43.61065,52.07103
10236,CONFIRMED,2.0845434,2.017038,12504.825019,13.4432705,1463.9513087,1085.4942586,5638.0,4.35,1.10646,73.70144,-76.680606
10237,FALSE POSITIVE,1.74626,3.88,1110.0,5.62786,3218.0,17804.9,8348.0,4.24,1.8,53.196298,51.884502
10238,FALSE POSITIVE,1.2427,1.563,663.745,6.05271,1660.0,1263.34,5624.8,3.92,2.14,53.098973,50.49904
10239,FALSE POSITIVE,8.66698,6.104,9854.3,27.4804,1998.0,2647.36,6322.2,3.77,2.52,31.902189,45.500156
10240,CONFIRMED,21.216464,3.045,6499.0,13.1431,581.0,18.9464,5925.0,4.1,1.55,42.436612,71.753088
10242,FALSE POSITIVE,2.4611008,3.13,1795.0,12.3334,2685.0,8632.97,5429.5,4.01,1.63,51.988839,54.865617
10244,FALSE POSITIVE,0.99837,1.632,2730.0,5.29489,1963.0,2465.96,6082.0,4.39,1.13,19.278636,57.514232
10245,FALSE POSITIVE,1.97741,6.549,5470.0,17.5768,4083.0,46143.6,6742.0,3.95,2.11,34.376965,56.42149
10247,FALSE POSITIVE,2.51266,2.411,2790.01,13.3617,1478.0,793.471,5988.0,4.08,2.3,333.578718,-55.378981
10248,CONFIRMED,4.7947749,4.799,6864.0,18.3428,1574.0,1021.14,6333.0,3.86,2.18,28.282572,52.053921
10250,FALSE POSITIVE,1.8932775,3.118,3415.0,21.043,3814.0,35143.2,6904.3,4.05,2.04,34.69789,64.356382
10251,FALSE POSITIVE,3.77188,2.923,450.0,10.0329,2363.0,5181.65,10097.0,3.52,4.62,4.249336,58.679253
10252,FALSE POSITIVE,0.88654,1.679,870.0,24.9348,4438.0,64431.5,6919.0,3.36,4.27,6.519425,63.319412
10255,FALSE POSITIVE,12.5343031,4.572,1517.0,8.71775,1292.0,463.57,7275.0,3.91,2.51,48.423422,61.907831
10257,FALSE POSITIVE,35.4028219,4.221,12666.0,21.7639,766.0,57.342,7455.0,4.17,1.78,14.119486,65.679038
10258,CANDIDATE,3.7628372,3.956,11360.0,17.3305867,1660.7594667,1797.8272074,6979.2,4.22,1.58746,51.782268,-78.549831
10261,FALSE POSITIVE,5.6318074,3.4553092,1186.1481873,4.8217692,1190.3562406,474.4919122,5669.9,4.16,1.38826,45.08847,39.068266
10262,FALSE POSITIVE,2.06313,2.157,600.0,11.9118,1831.0,1866.39,6716.5,3.24,4.77,45.598372,43.183802
10263,FALSE POSITIVE,1.51233,2.59,640.0,11.1245,3240.0,18303.0,9447.0,3.54,4.35,56.143332,41.064351
10264,FALSE POSITIVE,1.7498117,1.641,2549.0,8.13315,1520.0,886.867,6222.3,4.15,1.53,50.808098,46.682113
10265,FALSE POSITIVE,1.9734615,3.69,1295.0,16.6678,3193.0,17275.6,7962.9,3.6,3.62,56.222542,45.507188
10266,FALSE POSITIVE,0.73772,1.057,980.0,4.68288,1853.0,1958.84,6001.0,4.14,1.49,44.401798,40.016703
10267,CANDIDATE,1.1020719,0.864,580.0,4.33066,1549.0,958.145,6011.0,4.04,1.73,28.660315,37.005042
10268,CONFIRMED,1.2198382,2.8341804,12160.1096043,18.2179311,2510.7866744,9392.0471009,7398.5,4.25,1.60242,36.712738,37.550444
10269,FALSE POSITIVE,4.608,3.383,3213.22,7.99698,1445.0,724.001,5935.0,4.29,1.28,337.500827,-31.924356
10270,FALSE POSITIVE,0.361112,0.756,710.0,6.69136,2003.0,2677.39,6056.9,3.99,1.95,34.555963,38.478824
10271,CONFIRMED,5.33155,6.191,4220.0,14.6101,1593.0,1071.42,5917.0,3.78,2.22,38.361569,41.013432
10272,FALSE POSITIVE,6.15952,3.834,1230.0,3.90515,1309.0,487.519,6175.9,4.44,1.09,37.13241,40.891254
10273,CONFIRMED,4.7321735,2.589,8121.0,14.269,1229.0,379.567,6739.0,4.21,1.56,38.308075,30.360453
10274,FALSE POSITIVE,3.46608,4.403,1620.0,20.8363,3450.0,23536.1,7249.8,3.69,3.02,34.195855,29.570473
10275,CONFIRMED,8.7094632,3.027,4510.0,20.9625,1185.0,327.472,5597.0,4.03,1.59,54.48089,33.079897
10278,FALSE POSITIVE,2.4727425,2.341,2929.0,23.6289,2298.0,4630.82,6057.7,3.84,2.13,50.80115,33.078133
10279,FALSE POSITIVE,13.3118,4.492,750.0,2.67981,901.0,109.875,6011.0,4.5,0.98,288.675423,60.670948
10281,CANDIDATE,2.5287981,1.286,387.0,2.29951,1083.0,228.804,5740.2,4.3,1.19,263.543417,61.121472
10282,CONFIRMED,16.2016817,2.792,885.0,2.38101,641.0,28.0911,5071.0,4.58,0.78,325.201645,84.333761
10283,CONFIRMED,2.8641388,2.417,9597.0,15.5276,1373.0,591.067,6082.0,4.13,1.53,277.478075,85.233321
10284,FALSE POSITIVE,5.2469991,3.45,1180.0,5.46087,1381.0,604.151,6651.0,4.27,1.44,356.318574,62.142699
10286,FALSE POSITIVE,3.9401791,1.991,13317.0,25.3897,1600.0,1090.26,7170.0,4.31,1.51,351.174718,77.627113
10287,CANDIDATE,1.3433022,0.662,1052.0,4.72169,1218.0,365.857,6713.0,4.27,1.45,323.87017,68.987307
10288,FALSE POSITIVE,1.4013505,1.562,1532.0,3.7143,1857.0,1975.13,5521.0,4.48,0.94,325.32505,68.807202
